Kat-Nr,ort_lit,ort_name,x_long,y_lat
,Sonstige,Imporo,15.95,-1.6
,Sonstige,Olombo,15.9,-1.266667
,Sonstige,Bacongo,15.266667,-4.291667
,Sonstige,Owando,15.916667,-0.5
,Sonstige,Abala,15.533333,-1.333333
,Sonstige,Gamboma,15.833333,-1.833333
,Sonstige,Plateau de Hinda,11.983333,-4.8
,Sonstige,Okoyo,15.2,-1.35
,Sonstige,Boundji,15.358715,-1.027618
,Sonstige,Oyo,15.95,-1.116667
,Sonstige,Nzabi,14.45,-2.383333
,Sonstige,Bomane Yangwa,23.745473,1.281561
,Sonstige,Mbouamboua,16.213037,1.448394
,Sonstige,Sabélé,16.188058,3.334174
,Sonstige,85/22,18.129999,-5.821716
,Sonstige,Agondje,12.489999,4.869999
,Sonstige,Ayeme 1,9.736935,0.204949
,Sonstige,Azobe 1,11.621111,-0.201944
,Sonstige,Baia Farta,13.2,-12.683333
,Sonstige,Bécaré II,16.040565,3.525773
,Sonstige,Beka Petel,14.420556,6.771009
,Sonstige,Bemboyo,15.176851,7.314782
,Sonstige,Bidjouka,10.50152,3.137308
,Sonstige,Bidou 2,10.082725,3.030839
,Sonstige,Bidzar,14.1,9.883333
,Sonstige,Binguela II,11.373486,3.740573
,Sonstige,Biou,14.1,9.866667
,Sonstige,Boma,13.066667,-5.85
,Sonstige,Bugarama,29.02,-2.610004
,Sonstige,Campo Beach,9.826389,2.350556
,Sonstige,Cap Lopez,8.781164,-0.772646
,Sonstige,Djaoro Mbama,14.744678,7.094325
,Sonstige,Doumba,12.2202,4.575913
,Sonstige,Essong Missang,11.581042,4.091245
,Sonstige,Evinayong,9.65,0.6
,Sonstige,Ewankang,12.851953,4.804371
,Sonstige,Ezezang,11.498476,4.025863
,Sonstige,Gangalingolo,15.15,-4.216667
,Sonstige,Hinda,11.95,4.7
,Sonstige,Kabacusi I,29.666667,-2.083333
,Sonstige,Kabuye,29.833333,-2.6
,Sonstige,Kamabanga I,13.083333,-9.05
,Sonstige,Kandalo,30.65,-1.533333
,Sonstige,Kitala II,13.083333,-9.033333
,Sonstige,Koukony,13.063387,4.849055
,Sonstige,Kribi,9.91083,2.93131
,Sonstige,Lac Ossa,10.014764,3.784036
,Sonstige,Leboudi,11.423632,3.922875
,Sonstige,Lom 1,13.490392,5.404084
,Sonstige,Lombo,12.183333,-4.55
,Sonstige,Madingo-Kayes,11.69611,-4.43167
,Sonstige,Mbengue,10.15,3.783333
,Sonstige,Meningue,11.771606,-4.274181
,Sonstige,Meyang,12.686669,4.776613
,Sonstige,Mimongo,10.454202,-0.916929
,Sonstige,"Mina, Leconi",14.25905,-1.58431
,Sonstige,Mirama,29.983333,-3.383333
,Sonstige,Moanda 2,13.228192,-1.557111
,Sonstige,Mouanko-Epolo,9.799406,3.645092
,Sonstige,Mpassa,14.266667,-4.3
,Sonstige,Kribi-Mpoengu,9.912222,2.926944
,Sonstige,Mubuga,30.016667,-3.4
,Sonstige,Mucucu I,30.566667,-1.5
,Sonstige,Muhororo,30.616667,-1.5
,Sonstige,Nanga Eboko,12.394414,4.648814
,Sonstige,Ndjore,11.828533,4.395964
,Sonstige,Ndokoa,11.860436,4.436032
,Sonstige,Ngoma III,29.716667,-2.6
,Sonstige,Ngoume PK 35,11.4,5.48333
,Sonstige,Ngoumou,11.320731,3.601958
,Sonstige,Ntadi Ntadi,14.579839,-5.745826
,Sonstige,Obokoue,11.351564,3.647211
,Sonstige,Okolo,11.516667,3.933333
,Sonstige,Ongot,11.377713,3.851445
,Sonstige,ORSTOM Concession,15.233333,-4.266667
,Sonstige,Ozom,11.4172,3.914425
,Sonstige,Pangar,13.715291,5.641054
,Sonstige,Remboue 1,9.938122,-0.177925
,Sonstige,Remboue 3,9.95907,-0.196856
,Sonstige,Riviere Denis 2,9.347778,0.322222
,Sonstige,Rwiyange,30.083333,-3.05
,Sonstige,Salak,14.25,10.433333
,Sonstige,Sangmelima,11.985556,2.939444
,Sonstige,Sokorta Manga,14.83176,7.133633
,Sonstige,Sou Blame Radjil,14.683333,12.2
,Sonstige,Sou,14.7,12.2
,Sonstige,Kribi-Talla,9.909722,2.930278
,Sonstige,Tandou-Youmbi,11.69056,-4.41639
,Sonstige,Tchissanga Est,11.798009,-4.538866
,Sonstige,Tchissanga West,11.798009,-4.538866
,Sonstige,Toala,15.998333,6.352778
,Sonstige,Y��bi,13.319878,4.97257
,Sonstige,Zili,11.984775,4.488373
,Sonstige,Goray,14.5,10.5
,Sonstige,Hago,30.683333,-1.683333
,Sonstige,Gasiza I,29.65,-2.483333
,Sonstige,Gba,11.459002,5.650273
,Sonstige,Buru,26.904011,3.738526
,Sonstige,Matupi,30.008462,1.193327
,Sonstige,YK 10-3/YK 11,-1.568111,10.246667
,Sonstige,Pendèrè-Senguè/Gobongo 1,18.5529,4.42655
,Sonstige,Lingbadongo,18.533333,3.816667
,Sonstige,Mondongué,18.56,3.65
